Days,Proteins,Fats,Carbs,Calories
2023-08-03,174.05,45.45,54.98,1189
2023-08-04,231.9,76.6,238.4,2383
2023-08-05,182.8,77.7,154.3,2039.4
2023-08-06,165.6,81.1,176.2,1973
2023-08-07,165.35,92.63,160.08,2076
2023-08-08,197.31,74.86,301.99,2381
2023-08-09,163.45,26.56,24.28,942.2
2023-08-10,201.37,47.77,228.64,2085.98
2023-08-11,181.2,61.74,181.55,1977.08
2023-08-12,175.14,17.31,29.36,906.64
2023-08-13,178.36,62.79,258.94,2225.93
2023-08-14,159.95,33.06,143.89,1356.36
2023-08-15,161.92,87.64,175.29,2154.11
2023-08-17,162.22,17.34,134.52,1255.84
2023-08-18,165.67,72.32,177.66,2004.82
2023-08-19,158.13,64.75,184.19,1920.85
2023-08-20,150.85,14.28,145.48,1283.67
2023-08-21,156.26,9.475,84.59,1023.13
2023-08-22,150.44,17.04,99.86,1177.72
2023-08-23,157.25,49.73,159.22,1639.59
2023-08-24,179.48,128.16,213.94,2641.95
2023-08-25,179.17,64.25,245.75,2427.19
2023-08-26,0,0,0,0
2023-08-27,168.75,98.97,319.49,1987.14
2023-08-28,156.65,41.52,108.89,1217.79
2023-08-29,164.6,44.2,143.3,1576.3
2023-08-30,110.968,19.588,65.124,870.24
2023-08-31,82.773,56.009,156.798,1429.89
2023-09-01,217.12,65.65,304.61,2511.43












