Days,Calories,Fats,Proteins,Carbs
2023-08-03,1189,45.45,174.05,54.98
2023-08-04,2383,76.6,231.9,238.4
2023-08-05,2039.4,77.7,182.8,154.3
2023-08-06,1973,81.1,165.6,176.2
2023-08-07,2076,92.63,165.35,160.08
2023-08-08,2381,74.86,197.31,301.99
2023-08-09,942.2,26.56,163.45,24.28
2023-08-10,2085.98,47.77,201.37,228.64
2023-08-11,1977.08,61.74,181.2,181.55
2023-08-12,906.64,17.31,175.14,29.36
2023-08-13,2225.93,62.79,178.36,258.94
2023-08-14,1356.36,33.06,159.95,143.89
2023-08-15,2154.11,87.64,161.92,175.29
2023-08-17,1255.84,17.34,162.22,134.52
2023-08-18,2004.82,72.32,165.67,177.66
2023-08-19,1920.85,64.75,158.13,184.19
2023-08-20,1283.67,14.28,150.85,145.48
2023-08-21,1023.13,9.475,156.26,84.59
2023-08-22,1177.72,17.04,150.44,99.86
2023-08-23,1639.59,49.73,157.25,159.22
2023-08-24,2641.95,128.16,179.48,213.94
2023-08-25,2427.19,64.25,179.17,245.75
2023-08-26,0,0,0,0
2023-08-27,1987.14,98.97,168.75,319.49
2023-08-28,1217.79,41.52,156.65,108.89
2023-08-29,1576.3,44.2,164.6,143.3
2023-08-30,870.24,19.588,110.968,65.124
2023-08-31,1429.89,56.009,82.773,156.798
2023-09-01,2511.43,65.65,217.12,304.61
2023-09-02,1818,72.99,141.41,158.49
2023-09-03,1957,59.59,144.62,236.46
2023-09-04,1957,76.42,170.38,180.6
2023-09-05,2454.92,96.67,175.45,242.67
2023-09-06,817.76,12.25,92.29,81.2
2023-09-07,1740.79,35.47,151.62,204.72
2023-09-08,2241.14,54.03,178.92,267
2023-09-09,1978.8,84.5,152,249.2
2023-09-10,2772.5,100.86,140.92,407.62
2023-09-11,1483.03,46.845,171.66,97.86
2023-09-12,1398.97,33.945,216.007,83.532
